"threshold"	"host.scepts.min"	"n.extinct"	"n.clear"	"n.persist"	"sum(n.extinct, n.clear, n.persist)"
"1"	0.2	0.99	0	19	81	100
"2"	0.2	0.9	1	31	68	100
"3"	0.2	0.8	4	56	40	100
"4"	0.2	0.7	5	82	13	100
"5"	0.2	0.6	5	93	2	100
"6"	0.2	0.51	5	92	3	100
"7"	0.3	0.99	17	12	71	100
"8"	0.3	0.9	48	12	40	100
"9"	0.3	0.8	61	37	2	100
"10"	0.3	0.7	58	42	0	100
"11"	0.3	0.6	59	41	0	100
"12"	0.3	0.51	57	43	0	100
"13"	0.4	0.99	40	3	57	100
"14"	0.4	0.9	63	4	33	100
"15"	0.4	0.8	95	5	0	100
"16"	0.4	0.7	91	9	0	100
"17"	0.4	0.6	89	11	0	100
"18"	0.4	0.51	91	9	0	100
